0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
344,KOS,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,required if applicable,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,optional,optional,optional,optional,not applicable,not applicable,optional,optional,optional,optional,
3,Data file,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,recommended,required if applicable,optional,optional,required if applicable,required,optional,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
5,Database,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,recommended,recommended,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,required if applicable,recommended,required if applicable,required if applicable,recommended,required if applicable,optional,optional,required if applicable,required,optional,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
13,Dataset As A Collection Of Data,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,recommended,required if applicable,optional,optional,required if applicable,required,optional,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
15,geospatial raster file,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required if applicable,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
15.5,geospatial vector file,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,recommended,recommended,optional,optional,required if applicable,required,optional,optional,optional,optional,recommended,optional,required if applicable,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
27,Collection,1,0,required,recommended,optional,required,required,required,required,recommended,required,required,required if applicable,required,required,recommended,required if applicable,required if applicable,required,required if applicable,required if applicable,required,required,required,required,required,recommended,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,recommended,optional,optional,recommended,recommended,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
235,Manual,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,optional,optional,optional,optional,
117,Website,1,0,required,recommended,optional,required,required,required,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,recommended,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,required if applicable,required if applicable,required if applicable,required if applicable,required if applicable,
132,Software,1,0,required,recommended,optional,required,required,required,recommended,recommended,required,required,required if applicable,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,not applicable,not applicable,not applicable,not applicable,
